Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Diaphragm
2022-11-07 20:42:31.335,9369,9135,10059,9815,12334,11183,9342,9969,7326,5490,2331,223252,81206,1.064
2022-11-07 20:42:45.735,11337,11049,11795,11893,14412,13702,11235,12055,8814,6555,2921,269953,97478,1.064
2022-11-07 20:43:00.135,185436,183243,192488,189461,197256,165230,174514,195523,161127,109667,44627,271420,1483151,5.002
2022-11-07 20:43:14.535,220019,212226,208358,216385,233787,209166,215002,210147,205140,178755,101376,268148,1725090,9.963
2022-11-07 20:43:28.935,289898,278819,271213,282877,297453,269600,280090,275701,272803,237713,135480,272511,2245651,15.008
2022-11-07 20:43:43.335,292147,279608,272229,284379,295769,269472,281128,276997,273396,239837,138210,272221,2251729,18.989
2022-11-07 20:43:57.735,289701,277932,271274,282740,291363,267498,279127,275172,271657,237611,136986,270620,2234807,19.011
2022-11-07 20:44:12.135,291059,279098,271438,283473,291585,268139,279912,275706,272297,237794,136045,271793,2240410,17.967
2022-11-07 20:44:26.535,288424,275667,268442,281265,288266,265905,277732,272881,269946,235573,134602,269037,2218582,18.01
2022-11-07 20:44:40.935,289891,277737,270187,282351,289080,267481,279179,274592,271470,236592,134680,270935,2230498,18.053
2022-11-07 20:44:55.335,290015,278968,270958,283959,289989,268138,279934,275500,272271,237479,135676,271945,2237461,16.988
2022-11-07 20:45:09.735,291086,279235,271428,284044,290042,268604,280805,275700,272769,237359,135304,272465,2240944,16.988
2022-11-07 20:45:24.135,288435,276237,269301,281250,287362,266127,277705,273085,270161,234881,133237,269954,2219502,15.966
2022-11-07 20:45:38.535,288122,276499,268932,281639,287301,266319,277944,272990,270193,234758,132586,270286,2219746,15.945
2022-11-07 20:45:52.935,290541,278263,270774,282918,289365,268301,280217,275393,272362,236462,133933,272462,2235772,14.987
2022-11-07 20:46:07.335,287599,275857,267949,280649,286501,265997,277428,272899,269757,234174,132124,269850,2214879,14.987
2022-11-07 20:46:21.735,287188,276235,268938,281424,287666,266899,277909,273526,270553,234156,131427,271117,2219785,14.008
2022-11-07 20:46:36.135,287439,275959,268309,280713,287172,266123,277657,273408,270266,233696,130749,270776,2216780,14.008
2022-11-07 20:46:50.535,282564,273317,264118,278056,283551,263804,275578,270135,267166,229406,126842,268992,2191123,13.539
2022-11-07 20:47:04.935,281391,273569,263533,279850,285253,267051,278560,270966,268006,226753,122578,272156,2200173,12.986
2022-11-07 20:47:19.335,272316,264886,253467,271356,279038,263523,275378,262704,253631,208492,112279,272742,2142668,12.816
2022-11-07 20:47:33.735,259694,253016,241136,260971,268661,255893,267569,251399,237225,191202,102835,267810,2058339,12.007
2022-11-07 20:47:48.135,239771,229228,223063,239643,248975,239807,246937,228740,207458,178371,100235,269787,1896164,11.027
2022-11-07 20:48:02.535,239849,229831,223387,240671,249128,239876,247059,228927,207955,178869,100199,270356,1898728,11.027
2022-11-07 20:48:16.935,227235,216387,213430,224288,232558,218830,223999,215322,208031,180044,101147,271801,1772049,10.005
