Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Diaphragm
2022-11-07 18:29:54.135,66310,62918,62093,66670,66866,67395,63255,62059,59561,48370,24202,262597,517566,2.022
2022-11-07 18:30:21.735,38263,39902,36052,48134,46440,53971,52812,43689,23703,8569,1414,267050,359263,0.766
2022-11-07 18:30:49.335,65994,62692,62441,66211,67228,67490,63046,62264,59498,48465,24178,263021,517366,2.022
2022-11-07 18:31:16.935,49609,51605,47046,57043,56874,61402,58733,54012,44534,24926,7139,263559,436324,1.085
2022-11-07 18:31:44.535,59341,59502,56560,63100,63983,65435,62158,59788,55841,40502,16574,263666,489867,1.49
2022-11-07 18:32:12.135,49491,51682,46440,56338,56782,60256,58409,53381,44270,24957,7183,260980,432779,1.085
2022-11-07 18:32:39.735,57733,58426,54934,62199,63047,64668,61569,58756,54329,37683,14449,264620,481332,1.383
2022-11-07 18:33:07.335,49161,51365,45979,56405,56447,60724,58516,53292,43656,23840,6555,263936,431889,1.064
2022-11-07 18:33:34.935,49251,51750,46366,56930,55935,61012,58830,53319,43741,23783,6486,264501,433393,1.064
2022-11-07 18:34:02.535,48902,50996,45191,55594,55015,60596,57643,52374,42781,23055,6301,261802,426311,1.064
2022-11-07 18:34:30.135,48759,50891,45685,56369,55350,61031,58388,52631,42999,23254,6230,264307,429104,1.064
2022-11-07 18:34:57.735,49184,50984,45121,56249,55519,60413,57974,52409,42869,23381,6285,263251,427853,1.064
