Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Pressure
2022-11-03 14:46:10.935,288248,272848,271420,279473,282642,274045,272227,266413,253075,209952,108495,1092859,2207316,2.021
2022-11-03 14:47:14.535,74,20,194,44,111,59,20,27,0,0,0,0,549,2.019
2022-11-03 14:48:18.135,279370,267762,266685,276273,282905,270385,267862,259986,249188,206298,105993,1076441,2171228,2.015
2022-11-03 14:49:21.735,61,22,206,44,90,78,13,35,0,0,0,0,549,2.016
2022-11-03 14:50:25.335,280714,269693,268362,278623,286542,272505,269733,261948,251050,207557,106705,1083831,2188120,2.016
2022-11-03 14:51:28.935,280527,268692,267580,278287,285744,272203,269602,261694,250585,207440,106726,1083203,2184329,2.016
2022-11-03 14:52:32.535,275166,266587,265825,276069,284138,269101,267497,258101,248876,204765,104483,1074452,2162484,2.014
2022-11-03 14:53:36.135,270042,266840,266282,277792,287685,272175,269009,256925,248632,202045,100371,1086673,2166750,2.01
2022-11-03 14:54:39.735,263900,263671,264195,276323,284692,270442,266526,252601,245885,198336,96934,1078427,2142350,2.009
2022-11-03 14:55:43.335,249591,260361,260077,272637,283568,268785,264366,244870,241354,188295,86687,1074469,2104255,2.004
2022-11-03 14:56:46.935,248176,258228,258426,271262,281694,266061,261888,242799,239576,186620,85943,1071540,2088534,2.006
2022-11-03 14:57:50.535,77,24,217,56,119,111,14,22,0,0,0,0,640,2.006
2022-11-03 14:58:54.135,250163,258079,258737,271920,281620,266622,262227,244025,239939,187522,86897,1068565,2093393,2.006
2022-11-03 14:59:57.735,241180,254091,254514,268307,278652,264334,259292,237966,235453,180850,81232,1056037,2058336,2.004
2022-11-03 15:01:01.335,75,25,224,40,97,91,26,28,0,0,0,0,606,2.0
2022-11-03 15:02:04.935,218280,245984,247778,265513,274819,261462,255731,222680,224986,161816,65757,1054563,1992247,2.001
2022-11-03 15:03:08.535,221865,250810,252176,271296,281904,266632,261048,226964,229361,163858,65850,1075301,2032695,2.001
2022-11-03 15:04:12.135,197789,236239,240381,263877,272898,259918,253378,204989,211888,139159,50020,1059138,1929469,1.998
2022-11-03 15:05:15.735,186667,231723,238005,265010,273969,260982,253147,192307,203163,125114,41062,1065685,1901810,1.996
2022-11-03 15:06:19.335,177072,225141,232610,263662,272243,259973,250517,179949,192537,111681,33877,1067143,1861167,1.995
2022-11-03 15:07:22.935,150629,203061,215192,258322,267534,253762,241217,143940,156125,73858,17567,1066565,1733657,1.99
2022-11-03 15:08:26.535,142575,193001,206366,255404,263783,250710,234947,129668,139635,60060,12938,1066495,1676454,1.989
2022-11-03 15:09:30.135,113544,157507,176928,243452,251347,238950,215534,87894,81757,24305,3154,1062690,1485156,1.986
2022-11-03 15:10:33.735,112744,156119,173715,243004,251048,237723,213666,87320,79317,23269,3163,1062768,1475339,1.985
2022-11-03 15:11:37.335,111709,154747,172139,242826,250251,237062,212276,85714,76225,21854,2744,1065422,1466724,1.986
2022-11-03 15:12:40.935,90536,124992,145742,230063,236809,221999,188516,59143,34686,6404,434,1060822,1297800,1.983
2022-11-03 15:13:44.535,74300,102677,126814,218376,223786,209636,168470,44492,14195,1766,68,1058563,1168551,1.981
