Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Pressure
2022-11-01 19:20:10.935,10952,11056,13564,9351,20090,18491,13223,14198,319,79,8,1078230,110925,2.457
2022-11-01 19:20:25.335,10783,11012,13690,9763,20305,18498,12977,14911,306,70,14,1089477,111939,2.459
2022-11-01 19:20:39.735,10924,10901,13430,9239,19552,18380,13569,14862,334,94,17,1078882,110857,2.462
2022-11-01 19:20:54.135,11212,11090,13681,9504,20325,19295,13407,15097,319,82,6,1089371,113611,2.463
2022-11-01 19:21:08.535,10962,10895,14053,9524,20084,19040,13956,15142,339,91,12,1097405,113656,2.465
2022-11-01 19:21:22.935,10682,11354,13330,9745,19777,19068,13461,14687,365,102,22,1069300,112104,2.468
2022-11-01 19:21:37.335,10686,11125,13055,9554,19929,18245,13656,14992,329,81,11,1076378,111242,2.47
2022-11-01 19:21:51.735,10700,11263,13747,9437,19427,18948,13604,15040,342,91,10,1086667,112166,2.473
2022-11-01 19:22:06.135,10535,10517,13157,9208,19270,18336,13392,14458,336,68,10,1060682,108873,2.474
2022-11-01 19:22:20.535,10765,10651,12717,9384,18841,17961,13500,15076,311,78,10,1079660,108895,2.475
2022-11-01 19:22:34.935,10609,11035,13764,9508,19373,18204,13752,15342,322,91,14,1081393,111587,2.478
2022-11-01 19:22:49.335,10037,10559,12998,9306,19271,18281,13215,14208,302,70,9,1068360,107875,2.48
2022-11-01 19:23:03.735,10795,11298,13586,9204,19458,18672,13914,15403,349,87,10,1090434,112330,2.482
2022-11-01 19:23:18.135,10769,11142,13089,9464,19469,18344,14410,15702,357,82,11,1087588,112389,2.485
2022-11-01 19:23:32.535,10276,10528,13091,9152,19708,17899,13321,14616,304,61,6,1075707,108591,2.487
2022-11-01 19:23:46.935,10740,11285,13308,9389,19895,18669,14035,15206,351,85,9,1083016,112527,2.488
2022-11-01 19:24:01.335,10747,11494,13147,9271,20223,19064,13864,15374,307,79,7,1105298,113184,2.492
2022-11-01 19:24:15.735,10459,10830,12972,9164,19020,17865,13313,14650,299,81,10,1069796,108273,2.493
2022-11-01 19:24:30.135,10507,10611,12386,9152,19103,17882,13250,14872,342,76,8,1064965,107763,2.494
2022-11-01 19:24:44.535,10978,11012,13074,9718,19866,18810,13766,15276,341,91,14,1061388,112500,2.493
2022-11-01 19:24:58.935,10546,10377,12537,8986,18985,18209,13711,14620,310,76,10,1050858,107971,2.49
2022-11-01 19:25:13.335,10498,10608,12174,9134,19432,18605,13883,15189,336,98,20,1062595,109523,2.488
2022-11-01 19:25:27.735,10892,10639,13039,8746,18723,18297,13669,15082,336,94,9,1057459,109087,2.485
2022-11-01 19:25:42.135,9831,10777,12671,8749,19722,17902,13303,14426,339,99,20,1036244,107381,2.483
2022-11-01 19:25:56.535,9869,10526,13088,9253,19710,18723,14203,14780,305,68,6,1063247,110152,2.479
2022-11-01 19:26:10.935,10654,10907,13017,8915,18887,18283,14194,14994,348,94,11,1075081,109851,2.478
2022-11-01 19:26:25.335,10183,10028,12428,8975,18137,16480,13093,14098,272,69,10,1032166,103422,2.478
2022-11-01 19:26:39.735,1766,1800,2489,1334,3406,3520,2272,2556,48,12,1,162752,19143,2.474
