Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Pressure
2022-11-06 15:32:55.335,14394,5520,13405,13108,20778,11238,3936,10270,65,16,0,262446,92649,4.396
2022-11-06 15:33:37.335,15842,6275,15267,14630,22295,12138,4285,11628,65,18,4,266298,102360,4.394
2022-11-06 15:34:19.335,17455,7279,16493,16042,23325,12557,4853,13564,83,19,5,266185,111568,4.391
2022-11-06 15:35:01.335,17662,7416,16927,16288,22961,13052,5050,14019,70,21,1,266312,113375,4.391
2022-11-06 15:35:43.335,17876,7703,17077,16523,23120,12424,5156,14356,73,25,2,262001,114235,4.39
2022-11-06 15:36:25.335,19724,9038,19522,17995,24330,14164,6086,16436,65,10,1,264075,127295,4.388
2022-11-06 15:37:07.335,21963,10627,21041,19982,25670,15326,7182,18745,76,19,3,266504,140536,4.384
2022-11-06 15:37:49.335,23449,12221,22960,21307,26652,16165,8248,21098,83,16,2,265417,152100,4.382
2022-11-06 15:38:31.335,24063,12896,24138,22490,27193,16353,8805,22274,113,9,2,264658,158212,4.381
2022-11-06 15:39:13.335,24672,13222,24469,22781,27380,16906,8843,22544,108,15,1,266196,160817,4.381
2022-11-06 15:39:55.335,24804,13596,24644,22922,27611,17436,9180,22842,95,9,1,262252,163035,4.38
2022-11-06 15:40:37.335,26476,15080,26080,24553,28447,18176,10371,24831,156,19,4,263793,174014,4.378
2022-11-06 15:41:19.335,28221,16755,28104,27113,29844,20011,12009,27130,282,24,1,264779,189187,4.375
2022-11-06 15:42:01.335,30811,19075,30618,29134,31279,22080,13936,29943,491,44,1,265568,206876,4.372
2022-11-06 15:42:43.335,32157,21109,32321,30959,32973,24583,15418,31997,783,72,6,266560,221517,4.37
2022-11-06 15:43:25.335,31593,20636,32161,30297,32375,24080,15213,31458,797,76,7,263305,217813,4.37
2022-11-06 15:44:07.335,32729,21560,33027,31461,33425,25062,15637,32820,915,89,4,268325,225721,4.37
2022-11-06 15:44:49.335,33656,22880,34129,32408,33559,25714,17122,33818,1203,124,5,264488,233286,4.368
2022-11-06 15:45:31.335,35367,24955,35842,34015,34654,27343,19040,35631,2083,253,16,261680,246847,4.366
2022-11-06 15:46:13.335,37774,27599,38048,36871,36291,30352,21329,38034,3318,484,31,266626,266298,4.363
