Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Pressure
2022-11-06 15:30:07.335,40366,34307,45705,43361,42763,39049,29962,41412,10454,3057,500,258356,316925,4.398
2022-11-06 15:30:49.335,30848,21992,35505,32882,35376,25250,16193,31530,926,84,3,260799,229576,4.398
2022-11-06 15:31:31.335,13907,5079,12343,12633,20204,11640,3426,9644,82,17,1,262500,88876,4.397
2022-11-06 15:32:13.335,13892,5088,12897,12935,20898,11767,3620,9780,58,9,3,263300,90877,4.398
2022-11-06 15:32:55.335,14394,5520,13405,13108,20778,11238,3936,10270,65,16,0,262446,92649,4.396
2022-11-06 15:33:37.335,15842,6275,15267,14630,22295,12138,4285,11628,65,18,4,266298,102360,4.394
2022-11-06 15:34:19.335,17455,7279,16493,16042,23325,12557,4853,13564,83,19,5,266185,111568,4.391
2022-11-06 15:35:01.335,17662,7416,16927,16288,22961,13052,5050,14019,70,21,1,266312,113375,4.391
2022-11-06 15:35:43.335,17876,7703,17077,16523,23120,12424,5156,14356,73,25,2,262001,114235,4.39
2022-11-06 15:36:25.335,19724,9038,19522,17995,24330,14164,6086,16436,65,10,1,264075,127295,4.388
2022-11-06 15:37:07.335,21963,10627,21041,19982,25670,15326,7182,18745,76,19,3,266504,140536,4.384
2022-11-06 15:37:49.335,23449,12221,22960,21307,26652,16165,8248,21098,83,16,2,265417,152100,4.382
2022-11-06 15:38:31.335,24063,12896,24138,22490,27193,16353,8805,22274,113,9,2,264658,158212,4.381
2022-11-06 15:39:13.335,24672,13222,24469,22781,27380,16906,8843,22544,108,15,1,266196,160817,4.381
2022-11-06 15:39:55.335,24804,13596,24644,22922,27611,17436,9180,22842,95,9,1,262252,163035,4.38
2022-11-06 15:40:37.335,26476,15080,26080,24553,28447,18176,10371,24831,156,19,4,263793,174014,4.378
2022-11-06 15:41:19.335,28221,16755,28104,27113,29844,20011,12009,27130,282,24,1,264779,189187,4.375
2022-11-06 15:42:01.335,30811,19075,30618,29134,31279,22080,13936,29943,491,44,1,265568,206876,4.372
2022-11-06 15:42:43.335,32157,21109,32321,30959,32973,24583,15418,31997,783,72,6,266560,221517,4.37
2022-11-06 15:43:25.335,31593,20636,32161,30297,32375,24080,15213,31458,797,76,7,263305,217813,4.37
2022-11-06 15:44:07.335,32729,21560,33027,31461,33425,25062,15637,32820,915,89,4,268325,225721,4.37
2022-11-06 15:44:49.335,33656,22880,34129,32408,33559,25714,17122,33818,1203,124,5,264488,233286,4.368
2022-11-06 15:45:31.335,35367,24955,35842,34015,34654,27343,19040,35631,2083,253,16,261680,246847,4.366
2022-11-06 15:46:13.335,37774,27599,38048,36871,36291,30352,21329,38034,3318,484,31,266626,266298,4.363
2022-11-06 15:46:55.335,39054,29759,39677,38074,36893,32600,23851,40137,5164,946,84,262081,280045,4.36
2022-11-06 15:47:37.335,39504,29947,40090,38520,37074,32689,23801,40150,5201,887,59,262552,281775,4.361
2022-11-06 15:48:19.335,40267,30991,40699,39158,38258,34215,24739,41086,5652,1065,81,263826,289413,4.36
2022-11-06 15:49:01.335,40894,32318,41765,40279,38539,34936,25979,41819,7010,1419,123,263320,296529,4.358
2022-11-06 15:49:43.335,42676,34233,43510,42163,40436,37786,28408,43812,9548,2185,239,264119,313024,4.356
2022-11-06 15:50:25.335,44533,36728,44618,43576,41502,39630,30933,45534,12624,3281,383,261755,327054,4.353
2022-11-06 15:51:07.335,46874,39297,46988,46285,43335,43581,33798,47451,16237,4778,637,264835,347609,4.35
2022-11-06 15:51:49.335,34110,28359,34116,33542,31375,31156,24783,34549,12121,3639,522,190402,251990,4.35
2022-11-06 15:52:31.335,47496,40324,47643,46873,44236,44097,34818,48069,17445,5412,734,266366,353556,4.35
2022-11-06 15:53:09.735,36686,31479,37044,36194,33898,34263,27262,37003,14816,4697,725,200676,273829,4.348
2022-11-06 15:53:48.135,49317,42703,49275,48533,45096,46636,37608,49772,22084,7618,1301,263132,368940,4.346
2022-11-06 15:54:26.535,50344,44177,50191,50051,46655,48084,39431,50642,25384,9502,1727,262591,379575,4.344
2022-11-06 15:55:04.935,51078,45859,51305,50973,47555,50200,41382,51592,28740,11688,2316,262011,389944,4.341
2022-11-06 15:55:43.335,51999,46816,52232,51719,48797,52126,42815,52848,30818,13133,2633,261203,399352,4.341
2022-11-06 15:56:21.735,52708,47359,52713,52445,49171,51869,43392,53083,31839,13701,2868,262675,402740,4.339
2022-11-06 15:57:00.135,56,6,143,48,59,68,13,21,0,0,0,0,414,4.339
2022-11-06 15:57:38.535,53400,48323,53476,53393,50207,53144,45196,53339,35254,16523,3881,257821,410478,4.336
