Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Pressure
2022-11-01 12:30:44.535,54,7,178,39,88,59,14,13,0,0,0,0,452,1.118
2022-11-01 12:32:09.735,53,19,174,28,77,39,3,17,0,0,0,0,410,1.112
2022-11-01 12:33:34.935,53,9,170,45,83,43,10,11,0,0,0,0,424,1.108
2022-11-01 12:35:00.135,61,15,183,49,59,55,20,17,0,0,0,0,459,1.115
2022-11-01 12:36:25.335,55,10,165,39,79,40,9,10,0,0,0,0,407,1.129
2022-11-01 12:37:50.535,48,5,181,48,79,30,10,8,0,0,0,0,409,1.142
2022-11-01 12:39:15.735,73,12,187,34,76,52,8,6,0,0,0,0,448,1.155
2022-11-01 12:40:40.935,66,13,165,48,74,64,7,8,0,0,0,0,445,1.169
2022-11-01 12:42:06.135,54,19,160,35,67,46,8,12,0,0,0,0,401,1.18
2022-11-01 12:43:31.335,59,19,173,38,70,60,9,7,0,0,0,0,435,1.193
2022-11-01 12:44:56.535,72,16,187,36,75,44,18,14,0,0,0,0,462,1.206
2022-11-01 12:46:21.735,54,8,156,39,63,36,18,9,0,0,0,0,383,1.219
2022-11-01 12:47:46.935,71,6,151,38,80,36,13,13,0,0,0,0,408,1.231
2022-11-01 12:49:12.135,49,11,174,38,83,40,10,10,0,0,0,0,415,1.244
2022-11-01 12:50:37.335,62,6,163,27,73,43,12,9,0,0,0,0,395,1.257
2022-11-01 12:52:02.535,66,9,146,26,79,40,10,12,0,0,0,0,388,1.269
2022-11-01 12:53:27.735,89,20,154,37,81,30,13,12,0,0,0,0,436,1.282
2022-11-01 12:54:52.935,68,13,189,34,59,40,12,11,0,0,0,0,426,1.295
2022-11-01 12:56:18.135,55,9,181,51,67,59,6,14,0,0,0,0,442,1.308
2022-11-01 12:57:43.335,57,12,178,36,68,39,5,14,0,0,0,0,409,1.32
2022-11-01 12:59:08.535,59,15,181,46,75,53,8,9,0,0,0,0,446,1.333
2022-11-01 13:00:33.735,49,10,155,46,64,48,7,22,0,0,0,0,401,1.346
2022-11-01 13:01:58.935,57,5,195,47,68,18,11,9,0,0,0,0,410,1.359
2022-11-01 13:03:24.135,98,12,185,26,69,55,12,9,0,0,0,0,466,1.37
2022-11-01 13:04:49.335,66,14,175,40,69,53,9,11,0,0,0,0,437,1.384
2022-11-01 13:06:14.535,51,6,168,52,89,30,12,16,0,0,0,0,424,1.396
2022-11-01 13:07:39.735,68,9,166,38,82,60,7,6,0,0,0,0,436,1.41
2022-11-01 13:09:04.935,52,11,160,28,65,49,18,19,0,0,0,0,402,1.421
2022-11-01 13:10:30.135,76,4,174,34,68,51,10,18,0,0,0,0,435,1.434
2022-11-01 13:11:55.335,55,13,185,43,93,44,18,12,0,0,0,0,463,1.446
2022-11-01 13:13:20.535,80,13,183,37,69,52,8,11,0,0,0,0,453,1.462
2022-11-01 13:14:45.735,52,22,159,48,73,51,6,11,0,0,0,0,422,1.474
2022-11-01 13:16:10.935,69,15,167,52,57,55,17,14,0,0,0,0,446,1.485
