nm,0,1
521,92.38,92.38
520,92.41,92.35
519,92.44,92.33
518,92.47,92.3
517,92.46,92.27
516,92.45,92.25
515,92.42,92.26
514,92.39,92.28
513,92.37,92.32
512,92.33,92.34
511,92.33,92.34
510,92.32,92.31
509,92.34,92.29
508,92.33,92.27
507,92.34,92.24
506,92.32,92.2
505,92.3,92.14
504,92.29,92.12
503,92.26,92.09
502,92.22,92.06
501,92.15,92.04
500,92.08,92.03
499,92.04,92.01
498,91.99,91.96
497,91.96,91.9
496,91.94,91.82
495,91.91,91.75
494,91.87,91.71
493,91.83,91.66
492,91.78,91.6
491,91.73,91.56
490,91.67,91.54
489,91.63,91.53
488,91.61,91.52
487,91.63,91.55
486,91.67,91.59
485,91.72,91.62
484,91.79,91.67
483,91.86,91.7
482,91.92,91.71
481,91.97,91.76
480,92,91.84
479,92.03,91.88
478,92.06,91.93
477,92.07,91.98
476,92.1,92.01
475,92.13,92.06
474,92.15,92.06
473,92.17,92.06
472,92.19,92.06
471,92.23,92.04
470,92.24,92.05
469,92.25,92.05
468,92.24,92.06
467,92.21,92.07
466,92.2,92.07
465,92.19,92.06
464,92.16,92.04
463,92.14,92.03
462,92.13,92.01
461,92.11,91.95
460,92.08,91.92
459,92.04,91.86
458,92.02,91.8
457,91.94,91.77
456,91.87,91.73
455,91.85,91.7
454,91.82,91.63
453,91.78,91.61
452,91.72,91.58
451,91.69,91.48
450,91.66,91.42
449,91.65,91.36
448,91.58,91.31
447,91.55,91.31
446,91.51,91.32
445,91.51,91.32
444,91.5,91.35
443,91.53,91.36
442,91.56,91.37
441,91.58,91.33
440,91.61,91.3
439,91.59,91.32
438,91.55,91.34
437,91.55,91.33
436,91.58,91.35
435,91.55,91.35
434,91.56,91.36
433,91.59,91.35
432,91.55,91.35
431,91.57,91.32
430,91.58,91.32
429,91.55,91.32
428,91.54,91.31
427,91.53,91.32
426,91.54,91.3
425,91.55,91.29
424,91.57,91.31
423,91.56,91.3
422,91.53,91.3
421,91.51,91.26
420,91.51,91.24
419,91.49,91.3
