Pressure,6Fold,7Fold,8Fold
3.50,7.199999999999999e-06,7.199999999999999e-06,0.0
3.51,7.199999999999999e-06,0.0,0.0
3.52,0.0,0.0,0.0
3.53,0.0,0.0,0.0
3.54,0.0,0.0,0.0
3.55,0.0,0.0,0.0
3.56,0.020305999999999956,0.0026980000000000003,0.00028399999999999996
3.57,0.358691999999984,0.15392800000000245,0.047854000000000306
3.58,0.6242319999999404,0.45283799999996854,0.23714000000000393
3.59,0.6948131999999289,0.62721399999994,0.4407679999999705
3.60,0.706165999999927,0.6847239999999305,0.5533739999999521
3.61,0.7088639999999266,0.6987819999999282,0.5885899999999463
3.62,0.7087507999999265,0.6983631999999282,0.5978271999999447
3.63,0.7085871999999266,0.7010611999999278,0.6113171999999425
3.64,0.7090131999999265,0.7007699999999278,0.6130139999999422
3.65,0.7091623999999265,0.7030563999999275,0.6140079999999422
3.66,0.7085871999999266,0.7027579999999275,0.6185519999999414
3.67,0.7090203999999265,0.7020551999999276,0.6155699999999419
3.68,0.7080119999999267,0.7010539999999278,0.6070499999999432
3.69,0.7087435999999265,0.699917999999928,0.6032159999999439
3.70,0.7094303999999265,0.6929259999999292,0.571699199999949
3.71,0.7208567999999246,0.6854179999999304,0.510309199999959
3.72,0.724842799999924,0.6486951999999365,0.3916783999999786
3.73,0.6923503999999292,0.5326887999999556,0.23000760000000406
3.74,0.5770427999999481,0.3336719999999881,0.10662760000000156
3.75,0.3696043999999821,0.15436160000000243,0.047547200000000366
3.76,0.19935360000000332,0.07241920000000075,0.032876400000000056
3.77,0.10148880000000134,0.04510880000000019,0.03126160000000001
3.78,0.05978200000000049,0.038803200000000065,0.0310856
3.79,0.04694640000000022,0.036020800000000006,0.0311812
3.80,0.04196200000000012,0.03600640000000001,0.030938399999999998
3.81,0.040691200000000094,0.036064000000000006,0.031219199999999996
3.82,0.03757440000000003,0.0355032,0.031010399999999997
3.83,0.03692720000000002,0.0353376,0.030671999999999998
3.84,0.036104000000000004,0.0353808,0.029721599999999997
3.85,0.0359764,0.03500639999999999,0.027957599999999996
3.86,0.035604,0.033890399999999994,0.02448
3.87,0.034991999999999995,0.031053599999999997,0.0185112
3.88,0.032903999999999996,0.024443999999999997,0.010634399999999999
3.89,0.027021599999999996,0.015062399999999998,0.0041616
3.90,0.0166896,0.006033599999999999,0.0009647999999999999
3.91,0.007444799999999999,0.0017855999999999998,0.00019439999999999998
3.92,0.0027503999999999996,0.00046799999999999994,5.039999999999999e-05
3.93,0.0008711999999999999,7.199999999999999e-05,0.0
3.94,0.00025199999999999995,1.4399999999999998e-05,0.0
3.95,0.00012959999999999998,7.199999999999999e-06,0.0
3.96,2.1599999999999996e-05,0.0,0.0
3.97,2.8799999999999995e-05,0.0,0.0
3.98,1.4399999999999998e-05,0.0,0.0
3.99,7.199999999999999e-06,0.0,0.0
4.00,2.1599999999999996e-05,0.0,0.0
4.01,0.0,0.0,0.0
4.02,0.0,0.0,0.0
4.03,0.0,0.0,0.0
4.04,0.0,0.0,0.0
4.05,0.0,0.0,0.0
4.06,0.0,0.0,0.0
4.07,0.0001016,0.0,0.0
4.08,0.0018795999999999984,0.0001524,0.0
4.09,0.01610360000000011,0.005333999999999992,0.0008128
4.10,0.06324600000000023,0.027736800000000277,0.007823199999999995
4.11,0.1296415999999926,0.08006079999999831,0.031242000000000325
4.12,0.18379439999998642,0.13837919999999163,0.07183119999999925
4.13,0.21833839999998245,0.18369279999998642,0.11221719999999462
4.14,0.23947119999998,0.2116835999999832,0.1454403999999908
4.15,0.24902159999997892,0.23327359999998074,0.17378679999998756
4.16,0.25288239999997847,0.24373839999997954,0.1934971999999853
4.17,0.25298399999997845,0.24866599999997896,0.20431759999998406
4.18,0.2533903999999784,0.24932639999997888,0.21015959999998338
4.19,0.2530855999999785,0.24973279999997886,0.213715599999983
4.20,0.2535935999999784,0.2502407999999788,0.21503639999998284
4.21,0.25313639999997845,0.25049479999997876,0.2188463999999824
4.22,0.25318719999997846,0.25090119999997873,0.2205227999999822
4.23,0.25328879999997844,0.25034239999997876,0.2161031999999827
4.24,0.25318719999997846,0.24983439999997883,0.21244559999998314
4.25,0.2529331999999785,0.24876759999997897,0.20960079999998346
4.26,0.25333959999997846,0.248310399999979,0.2005075999999845
4.27,0.25237439999997857,0.24414479999997948,0.18658839999998608
4.28,0.2508503999999787,0.23469599999998056,0.1672335999999883
4.29,0.24643079999997922,0.21986239999998228,0.1386839999999916
4.30,0.23484839999998056,0.19268439999998538,0.10200639999999579
4.31,0.204927199999984,0.14610079999999073,0.06431280000000011
4.32,0.16093439999998904,0.100228399999996,0.035306000000000386
4.33,0.10398759999999556,0.04820920000000057,0.012242800000000057
4.34,0.052933600000000636,0.01813560000000014,0.003047999999999996
4.35,0.01955800000000016,0.004470399999999994,0.0009144
4.36,0.004724399999999993,0.0008128,5.08e-05
4.37,0.0008128,0.0002032,0.0
4.38,0.0001524,0.0,0.0
4.39,0.0,0.0,0.0
4.40,0.0,0.0,0.0
4.41,0.0,0.0,0.0
4.42,0.0,0.0,0.0
4.43,0.0,0.0,0.0
4.44,0.0,0.0,0.0
4.45,0.0,0.0,0.0
4.46,0.0,0.0,0.0
4.47,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.49,0.0,0.0,0.0
4.50,0.0,0.0,0.0
