Diaphragm,6Fold,7Fold,8Fold
17.9,0.253238,0.247904,0.215646
18,0.254,0.25146,0.22479
18.1,0.253746,0.251714,0.21971
18.2,0.254,0.251714,0.218694
18.3,0.253746,0.252222,0.223266
18.4,0.253492,0.250952,0.219456
18.5,0.254,0.250952,0.22225
18.6,0.253492,0.251714,0.216916
18.7,0.252984,0.249682,0.22098
18.8,0.254,0.25146,0.22352
18.9,0.25273,0.250952,0.2159
19,0.253746,0.250444,0.216916
19.1,0.253746,0.250952,0.21844
19.2,0.253746,0.250952,0.216408
19.3,0.25273,0.25019,0.218694
19.4,0.254,0.251714,0.22098
19.5,0.253492,0.251206,0.216154
19.6,0.253746,0.249428,0.216662
19.7,0.253746,0.25146,0.220472
19.8,0.253492,0.25146,0.220218
19.9,0.253492,0.250698,0.21717
20,0.253746,0.25019,0.21971
