Pressure,6Fold,7Fold,8Fold
1.550,0.0,0.0,0.0
1.555,0.0,0.0,0.0
1.560,0.0,0.0,0.0
1.565,0.0,0.0,0.0
1.570,0.0,0.0,0.0
1.575,0.0,0.0,0.0
1.580,0.0,0.0,0.0
1.585,0.0,0.0,0.0
1.590,0.0,0.0,0.0
1.595,0.0,0.0,0.0
1.600,0.0,0.0,0.0
1.605,0.0,0.0,0.0
1.610,0.15619999999999984,0.048989999999999916,0.015620000000000002
1.615,0.5687100000000083,0.3514500000000038,0.20874000000000092
1.620,0.6837300000000105,0.5857500000000087,0.4302600000000054
1.625,0.703610000000011,0.6844400000000106,0.5814900000000085
1.630,0.705740000000011,0.6993500000000108,0.609180000000009
1.635,0.706450000000011,0.7000600000000109,0.608470000000009
1.640,0.707160000000011,0.7007700000000109,0.6148600000000092
1.645,0.707870000000011,0.703610000000011,0.6169900000000091
1.650,0.707160000000011,0.7021900000000109,0.6042100000000089
1.655,0.705740000000011,0.6908300000000107,0.6006600000000089
1.660,0.705740000000011,0.6844400000000106,0.5680000000000083
1.665,0.6858600000000106,0.5921400000000087,0.42529000000000533
1.670,0.5523800000000079,0.34222000000000363,0.17608000000000024
1.675,0.1790280000000003,0.05324999999999991,0.00994
1.680,0.011068,0.00324,0.0011159999999999998
1.685,0.028331999999999996,0.018611999999999997,0.009827999999999998
1.690,0.034272,0.029627999999999998,0.021887999999999998
1.695,0.035604,0.033839999999999995,0.028439999999999997
1.700,0.035747999999999995,0.035351999999999995,0.030779999999999995
1.705,0.03564,0.035387999999999996,0.031175999999999995
1.710,0.035856,0.035531999999999994,0.031895999999999994
1.715,0.035604,0.035244,0.031284
1.720,0.035711999999999994,0.035135999999999994,0.030707999999999996
1.725,0.03567599999999999,0.035244,0.030815999999999996
1.730,0.035747999999999995,0.034884,0.029627999999999998
1.735,0.03491999999999999,0.030491999999999995,0.021959999999999997
1.740,0.029411999999999997,0.01962,0.010152
1.745,0.013643999999999998,0.005291999999999999,0.0016559999999999997
1.750,0.0005039999999999999,0.00010799999999999998,0.0
1.755,0.0,0.0,0.0
1.760,0.0,0.0,0.0
1.765,0.0,0.0,0.0
1.770,0.0,0.0,0.0
1.775,0.0,0.0,0.0
1.780,0.0,0.0,0.0
1.785,0.0,0.0,0.0
1.790,0.0,0.0,0.0
1.795,0.0,0.0,0.0
1.800,0.0,0.0,0.0
1.805,3.5999999999999994e-05,3.5999999999999994e-05,0.0
1.810,0.0,0.0,0.0
1.815,0.0,0.0,0.0
1.820,0.0,0.0,0.0
1.825,0.0,0.0,0.0
1.830,0.0,0.0,0.0
1.835,0.0,0.0,0.0
1.840,0.0,0.0,0.0
1.845,0.0,0.0,0.0
1.850,0.0,0.0,0.0
1.855,0.0,0.0,0.0
1.860,0.000508,0.0,0.0
1.865,0.00381,0.000762,0.0
1.870,0.026161999999999963,0.009905999999999991,0.0012699999999999999
1.875,0.08255000000000058,0.04165600000000001,0.013715999999999983
1.880,0.15113000000000157,0.0980440000000008,0.04216400000000002
1.885,0.19989800000000224,0.16383000000000172,0.09956800000000082
1.890,0.22809200000000265,0.20040600000000225,0.14224000000000142
1.895,0.2463800000000029,0.2303780000000027,0.18440400000000204
1.900,0.25044400000000294,0.24485600000000288,0.20472400000000232
1.905,0.251206000000003,0.2463800000000029,0.20853400000000238
1.910,0.252222000000003,0.251206000000003,0.2174240000000025
1.915,0.252222000000003,0.24892000000000294,0.21412200000000245
1.920,0.252222000000003,0.24993600000000296,0.2169160000000025
1.925,0.25146000000000296,0.2463800000000029,0.2090420000000024
1.930,0.24917400000000295,0.2379980000000028,0.19380200000000217
1.935,0.2382520000000028,0.21234400000000242,0.14884400000000153
1.940,0.2087880000000024,0.16967200000000182,0.0975360000000008
1.945,0.1539240000000016,0.10007600000000083,0.04038599999999999
1.950,0.07518400000000047,0.03479799999999995,0.013969999999999984
1.955,0.025653999999999965,0.008381999999999994,0.0025399999999999997
1.960,0.005587999999999998,0.002032,0.000254
1.965,0.001016,0.000254,0.000254
1.970,0.0,0.0,0.0
1.975,0.0,0.0,0.0
1.980,0.0,0.0,0.0
1.985,0.0,0.0,0.0
1.990,0.0,0.0,0.0
1.995,0.0,0.0,0.0
2.000,0.0,0.0,0.0
