"Wavelength, µm","n"
0.108716,2.141217
0.109193,2.106695
0.109672,2.052598
0.110154,2.006438
0.110637,1.974922
0.111123,1.950236
0.111611,1.929626
0.112101,1.911703
0.112593,1.895621
0.113087,1.880776
0.113584,1.866709
0.114082,1.853466
0.114583,1.841058
0.115086,1.829123
0.115591,1.817382
0.116099,1.805479
0.116608,1.792667
0.11712,1.780255
0.117634,1.769535
0.118151,1.759754
0.118669,1.750613
0.11919,1.741882
0.119714,1.733613
0.120239,1.725884
0.120767,1.718549
0.121297,1.711487
0.12183,1.7047
0.122364,1.698347
0.122902,1.692497
0.123441,1.687244
0.123983,1.68219
0.124527,1.67666
0.125074,1.67033
0.125623,1.663965
0.126175,1.658303
0.126728,1.653062
0.127285,1.64812
0.127844,1.643419
0.128405,1.638921
0.128968,1.634597
0.129535,1.630418
0.130103,1.62639
0.130674,1.622525
0.131248,1.618808
0.131824,1.615223
0.132403,1.611762
0.132984,1.608424
0.133568,1.605201
0.134154,1.602063
0.134743,1.598988
0.135335,1.595979
0.135929,1.593031
0.136526,1.590134
0.137125,1.587268
0.137727,1.584389
0.138331,1.581601
0.138939,1.579009
0.139549,1.576586
0.140161,1.574295
0.140777,1.572076
0.141395,1.569897
0.142015,1.56772
0.142639,1.565534
0.143265,1.563341
0.143894,1.561128
0.144525,1.558963
0.14516,1.556899
0.145797,1.55491
0.146437,1.55299
0.14708,1.551137
0.147726,1.549326
0.148374,1.547537
0.149026,1.545778
0.14968,1.544049
0.150337,1.542352
0.150997,1.540682
0.15166,1.539036
0.152325,1.537423
0.152994,1.535856
0.153666,1.534329
0.15434,1.532841
0.155018,1.531395
0.155698,1.529999
0.156382,1.528655
0.157068,1.527324
0.157758,1.52598
0.15845,1.524637
0.159146,1.5233
0.159845,1.521966
0.160546,1.520641
0.161251,1.519329
0.161959,1.518027
0.16267,1.516726
0.163384,1.515418
0.164101,1.514134
0.164822,1.512894
0.165545,1.511685
0.166272,1.510503
0.167002,1.509344
0.167735,1.508206
0.168471,1.507089
0.169211,1.505992
0.169954,1.504913
0.1707,1.503851
0.171449,1.502807
0.172202,1.50178
0.172958,1.500768
0.173717,1.499772
0.17448,1.498792
0.175246,1.497826
0.176015,1.496874
0.176788,1.495935
0.177564,1.495009
0.178343,1.494096
0.179126,1.493195
0.179912,1.492306
0.180702,1.491427
0.181496,1.490558
0.182292,1.489694
0.183093,1.488843
0.183896,1.488009
0.184704,1.48719
0.185514,1.486385
0.186329,1.485592
0.187147,1.484811
0.187968,1.484042
0.188793,1.483285
0.189622,1.482538
0.190455,1.481802
0.191291,1.481077
0.192131,1.480362
0.192974,1.479657
0.193821,1.478961
0.194672,1.478275
0.195527,1.477599
0.196385,1.476931
0.197247,1.476273
0.198113,1.475624
0.198983,1.474983
0.199856,1.47435
0.200733,1.473726
0.201615,1.47311
0.2025,1.472503
0.203389,1.471903
0.204282,1.471311
0.205178,1.470727
0.206079,1.47015
0.206984,1.46958
0.207892,1.469017
0.208805,1.468462
0.209722,1.467914
0.210642,1.467373
0.211567,1.466838
0.212496,1.46631
0.213429,1.465789
0.214365,1.465274
0.215307,1.464765
0.216252,1.464263
0.217201,1.463766
0.218155,1.463276
0.219112,1.462792
0.220074,1.462313
0.22104,1.46184
0.222011,1.461373
0.222985,1.460912
0.223964,1.460456
0.224947,1.460006
0.225935,1.45956
0.226927,1.45912
0.227923,1.458686
0.228923,1.458256
0.229928,1.457831
0.230938,1.457412
0.231951,1.456997
0.23297,1.456587
0.233992,1.456181
0.23502,1.455781
0.236051,1.455385
0.237088,1.454993
0.238128,1.454606
0.239174,1.454224
0.240224,1.453846
0.241278,1.453472
0.242337,1.453102
0.243401,1.452737
0.24447,1.452375
0.245543,1.452018
0.246621,1.451664
0.247703,1.451315
0.248791,1.450969
0.249883,1.450628
0.25098,1.45029
0.252082,1.449955
0.253188,1.449625
0.2543,1.449299
0.255416,1.448975
0.256537,1.448655
0.257664,1.448339
0.258795,1.448027
0.259931,1.447717
0.261072,1.447411
0.262218,1.447109
0.263369,1.446809
0.264525,1.446513
0.265687,1.44622
0.266853,1.44593
0.268024,1.445644
0.269201,1.44536
0.270383,1.445079
0.27157,1.444802
0.272762,1.444527
0.273959,1.444255
0.275162,1.443987
0.27637,1.443721
0.277583,1.443457
0.278802,1.443197
0.280025,1.442939
0.281255,1.442684
0.282489,1.442432
0.28373,1.442183
0.284975,1.441936
0.286226,1.441691
0.287483,1.441449
0.288745,1.44121
0.290012,1.440973
0.291285,1.440738
0.292564,1.440506
0.293848,1.440277
0.295138,1.44005
0.296434,1.439825
0.297735,1.439602
0.299042,1.439382
0.300355,1.439164
0.301674,1.438948
0.302998,1.438735
0.304328,1.438524
0.305664,1.438314
0.307006,1.438107
0.308354,1.437902
0.309707,1.437699
0.311067,1.437498
0.312432,1.437299
0.313804,1.437102
0.315182,1.436907
0.316565,1.436714
0.317955,1.436523
0.319351,1.436334
0.320753,1.436147
0.322161,1.435962
0.323575,1.435779
0.324995,1.435597
0.326422,1.435417
0.327855,1.435239
0.329294,1.435063
0.33074,1.434889
0.332192,1.434716
0.33365,1.434545
0.335115,1.434375
0.336586,1.434208
0.338063,1.434041
0.339547,1.433877
0.341038,1.433715
0.342535,1.433554
0.344039,1.433395
0.345549,1.433237
0.347066,1.43308
