Pressure,6Fold,7Fold,8Fold
3.50,0.0,0.0,0.0
3.51,0.0,0.0,0.0
3.52,0.0,0.0,0.0
3.53,0.0,0.0,0.0
3.54,0.0,0.0,0.0
3.55,3.5999999999999994e-06,0.0,0.0
3.56,0.00028399999999999996,0.0,0.0
3.57,0.06787600000000105,0.013986999999999968,0.001562
3.58,0.3085659999999708,0.12524400000000088,0.026980000000000216
3.59,0.5218499999999359,0.30402199999997154,0.09577900000000161
3.60,0.6259359999999188,0.44829399999994785,0.18183099999999158
3.61,0.667257999999912,0.5380379999999332,0.25829799999997904
3.62,0.6808261999999098,0.5740349999999272,0.3068619999999711
3.63,0.6887035999999085,0.5937729999999241,0.3264579999999679
3.64,0.6883449999999085,0.5981749999999233,0.33852799999996586
3.65,0.6905495999999082,0.6029319999999225,0.34292999999996515
3.66,0.6904039999999082,0.6066949999999219,0.3427169999999652
3.67,0.6909719999999081,0.599949999999923,0.3416519999999654
3.68,0.6867119999999088,0.5910749999999245,0.3298659999999673
3.69,0.6727321999999111,0.5499021999999313,0.2846425999999747
3.70,0.6300009999999181,0.4626395999999455,0.19290699999998978
3.71,0.5370581999999333,0.3117371999999703,0.09587880000000161
3.72,0.3544035999999633,0.14279219999999798,0.024927000000000175
3.73,0.14885699999999694,0.03919240000000048,0.005314399999999991
3.74,0.04811940000000043,0.01898280000000005,0.0054026
3.75,0.03205220000000002,0.022265,0.009151199999999998
3.76,0.0333288,0.026420399999999997,0.012542399999999999
3.77,0.034243199999999994,0.028425599999999995,0.014752799999999998
3.78,0.034556399999999994,0.029494799999999998,0.016142399999999998
3.79,0.034678799999999996,0.030023999999999995,0.016783199999999998
3.80,0.034758,0.030293999999999998,0.017301599999999997
3.81,0.034819199999999995,0.030387599999999997,0.0169776
3.82,0.034718399999999996,0.030023999999999995,0.016804799999999998
3.83,0.034369199999999996,0.028781999999999995,0.015101999999999999
3.84,0.03314159999999999,0.025790399999999998,0.011772
3.85,0.030797999999999996,0.021315599999999997,0.0077507999999999995
3.86,0.025487999999999997,0.014198399999999998,0.0040463999999999995
3.87,0.016833599999999997,0.0067859999999999995,0.0013463999999999998
3.88,0.007775999999999999,0.00207,0.00027719999999999996
3.89,0.0019043999999999999,0.00025199999999999995,1.7999999999999997e-05
3.90,0.00016199999999999998,1.4399999999999998e-05,0.0
3.91,1.0799999999999998e-05,0.0,0.0
3.92,0.0,0.0,0.0
3.93,0.0,0.0,0.0
3.94,0.0,0.0,0.0
3.95,0.0,0.0,0.0
3.96,0.0,0.0,0.0
3.97,0.0,0.0,0.0
3.98,0.0,0.0,0.0
3.99,0.0,0.0,0.0
4.00,0.0,0.0,0.0
4.01,0.0,0.0,0.0
4.02,0.0,0.0,0.0
4.03,0.0,0.0,0.0
4.04,0.0,0.0,0.0
4.05,0.0,0.0,0.0
4.06,0.0,0.0,0.0
4.07,0.0,0.0,0.0
4.08,2.54e-05,0.0,0.0
4.09,0.0003302,2.54e-05,2.54e-05
4.10,0.002844799999999996,0.0005334,0.0
4.11,0.012547600000000119,0.0029209999999999956,0.000254
4.12,0.03421379999999982,0.010769600000000094,0.0014223999999999984
4.13,0.06637019999999613,0.023749000000000277,0.004191000000000001
4.14,0.10205719999999203,0.043154599999998794,0.00904240000000007
4.15,0.1363217999999881,0.06730999999999603,0.018161000000000198
4.16,0.17063719999998417,0.09778999999999254,0.030251400000000275
4.17,0.19784059999998105,0.1252727999999894,0.04516119999999857
4.18,0.21656039999997892,0.154558999999986,0.06459219999999634
4.19,0.23078439999997727,0.17706339999998344,0.07988299999999458
4.20,0.23743919999997806,0.1921509999999817,0.09311639999999306
4.21,0.24244299999998264,0.20139659999998064,0.10429239999999178
4.22,0.2433827999999835,0.20482559999998026,0.10881359999999127
4.23,0.24170639999998197,0.20109179999998067,0.10454639999999175
4.24,0.24000459999998042,0.19331939999998157,0.09527539999999282
4.25,0.23040339999997733,0.17607279999998354,0.07899399999999468
4.26,0.21686519999997886,0.15412719999998606,0.062077599999996624
4.27,0.19786599999998106,0.12905739999998894,0.043484799999998755
4.28,0.17200879999998403,0.09778999999999254,0.029286200000000356
4.29,0.14391639999998723,0.0718057999999955,0.018008600000000197
4.30,0.10271759999999197,0.043433999999998765,0.009525000000000077
4.31,0.0640841999999964,0.023342600000000272,0.0038607999999999967
4.32,0.03296919999999996,0.009271000000000073,0.0014223999999999984
4.33,0.012115800000000114,0.0024383999999999964,0.000254
4.34,0.003276599999999995,0.0005334,2.54e-05
4.35,0.0005841999999999998,5.08e-05,0.0
4.36,7.62e-05,2.54e-05,0.0
4.37,0.0,0.0,0.0
4.38,0.0,0.0,0.0
4.39,0.0,0.0,0.0
4.40,0.0,0.0,0.0
4.41,0.0,0.0,0.0
4.42,0.0,0.0,0.0
4.43,0.0,0.0,0.0
4.44,0.0,0.0,0.0
4.45,0.0,0.0,0.0
4.46,0.0,0.0,0.0
4.47,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.49,0.0,0.0,0.0
4.50,0.0,0.0,0.0
