"Wavelength, µm","T"
0.0299919,0.021892307964603785
0.0301236,0.02181616635004103
0.0302558,0.02174290659552733
0.0303887,0.02099913852583654
0.0305221,0.020238450111218134
0.030656,0.019519083618584742
0.0307906,0.01883822386487881
0.0309258,0.018194321256452015
0.0310616,0.0175844989390999
0.0311979,0.017006434866117408
0.0313349,0.016459125700176686
0.0314724,0.01594027392816442
0.0316106,0.015449037563841663
0.0317494,0.014982653057594407
0.0318887,0.01454034231166525
0.0320287,0.014121061634029342
0.0321693,0.013722873344686446
0.0323105,0.01334535569332074
0.0324524,0.012986724860127408
0.0325948,0.01264632127633018
0.0327379,0.012323444607110625
0.0328817,0.012016764299049541
0.033026,0.011725078793926121
0.033171,0.011448215172247101
0.0333166,0.01118521943384348
0.0334629,0.010935808697581309
0.0336098,0.010698510326951802
0.0337573,0.010472996193481013
0.0339055,0.010259086361587146
0.0340543,0.010055769080393155
0.0342038,0.00986265028167423
0.034354,0.009679491734392615
0.0345048,0.00950541504839519
0.0346563,0.009340625102722657
0.0348084,0.009184050622684943
0.0349612,0.009035678604985047
0.0351147,0.00889512915736535
0.0352688,0.00876193315322368
0.0354237,0.008636226241289484
0.0355792,0.008517224716852905
0.0357354,0.00840475320755409
0.0358922,0.008298869044755892
0.0360498,0.008198867396457622
0.036208,0.008104937397015902
0.036367,0.00801684194094057
0.0365266,0.00793435443390128
0.036687,0.007857267507234297
0.036848,0.007785181093156495
0.0370098,0.007718317932852362
0.0371723,0.007656596744525956
0.0373355,0.0075996524586431705
0.0374994,0.00754733264395079
0.037664,0.007499684473077733
0.0378293,0.00745675820666796
0.0379954,0.007418328361511424
0.0381622,0.007384364723802158
0.0383297,0.007354753457768394
0.038498,0.007329482909218643
0.038667,0.0073087202512279285
0.0388367,0.0072923723611674355
0.0390072,0.007280442979573861
0.0391784,0.00727293819740078
0.0393504,0.007270053732037477
0.0395232,0.007271721562548863
0.0396967,0.007277968243657517
0.0398709,0.007289091565949844
0.040046,0.0073053989943299685
0.0402218,0.007326847124065981
0.0403983,0.0073541030529370895
0.0405757,0.007387492966390757
0.0407538,0.007423882233979711
0.0409327,0.007455055966278755
0.0411124,0.007489524140188567
0.0412929,0.007529186620488486
0.0414742,0.007574225285826539
0.0416562,0.007625439646547036
0.0418391,0.007683566469231848
0.0420228,0.007749101874607113
0.0422072,0.007822564802382302
0.0423925,0.007904949703848453
0.0425786,0.007997026407408719
0.0427655,0.008100243563768426
0.0429533,0.008215488217635049
0.0431418,0.008344544200574094
0.0433312,0.008489500639594114
0.0435214,0.008652693554611943
0.0437125,0.008837805686330873
0.0439044,0.009049036057175311
0.0440971,0.00929329839573547
0.0442907,0.009580815354437323
0.0444851,0.009931100723423073
0.0446804,0.0103946331466452
0.0448766,0.01055346777905321
0.0450736,0.01057169923763689
0.0452714,0.010564459374741316
0.0454702,0.010570814984560367
0.0456698,0.010615341584914771
0.0458703,0.010729692551051268
0.0460716,0.010986823768144464
0.0462739,0.011040910247894088
0.046477,0.01057357159245635
0.0466811,0.009894816578214392
0.046886,0.009194919886882475
0.0470918,0.008523568128969502
0.0472985,0.007900122419107647
0.0475062,0.0073327142884749225
0.0477147,0.006824953476807331
0.0479242,0.0063786675379563715
0.0481346,0.005995945241102866
0.0483459,0.005681493585621278
0.0485581,0.005446046487777046
0.0487713,0.0053178258114128145
0.0489854,0.005394759711570568
0.0492004,0.005044871180554197
0.0494164,0.004244530637630266
0.0496333,0.003417076562373158
0.0498512,0.0026986651087855776
0.0500701,0.002109775376393379
0.0502899,0.001640602719435479
0.0505106,0.0012738957256250303
0.0507324,0.0009934074944711788
0.0509551,0.0007779234206884327
0.0511788,0.0005345987379154332
0.0514034,0.00035868652764473524
0.0516291,0.0002836676468855333
0.0518557,0.000212935469374627
0.0520834,0.00013796559752494417
0.052312,0.00009250215782488034
0.0525417,0.00006841152811162186
0.0527723,0.0000527111811949466
0.053004,0.00004135654772506299
0.0532367,0.000032741135558009395
0.0534704,0.00002597015068044017
0.0537051,0.000020839830082608645
0.0539409,0.000017382852297684902
0.0541777,0.000015011709610559475
0.0544155,0.000013192324358496728
0.0546544,0.000011739480982353938
0.0548943,0.000010552986978639242
0.0551353,0.000009568723351864364
0.0553773,0.00000874218463041854
0.0556204,0.000008041221902142672
0.0558646,0.000007441848348674778
0.0561098,0.000006925586167028785
0.0563562,0.000006478645691430645
0.0566036,0.000006089167690516783
0.056852,0.000005748458851665457
0.0571016,0.000005449436377319265
0.0573523,0.000005186290359595537
0.0576041,0.000004956063793719391
0.0578569,0.000004753352061617267
0.0581109,0.000004574274526878756
0.058366,0.000004415621602443689
0.0586222,0.000004274870371211522
0.0588796,0.000004149713557062875
0.0591381,0.00000403779107041431
0.0593977,0.000003936550764502242
0.0596584,0.0000038422314420045305
0.0599203,0.0000037564350338640177
0.0601834,0.000003797860352113932
0.0604476,0.000004004059695377812
0.0607129,0.000004268962627074364
0.0609794,0.000004592546017437988
0.0612471,0.000004986420575587893
0.061516,0.000005136437524289493
0.0617861,0.0000051850725072235346
0.0620573,0.000005226823585668848
0.0623297,0.000005268793331275929
0.0626033,0.0000053124468457448695
0.0628782,0.0000053539433652323456
0.0631542,0.000005729659568345089
0.0634314,0.000006200439725234621
0.0637099,0.000006742911004018828
0.0639896,0.0000073618335067147024
0.0642705,0.000008065576276523218
0.0645526,0.000008864078567923669
0.064836,0.00000976967446769784
0.0651206,0.000010795933189325446
0.0654065,0.000011959541086914656
0.0656936,0.000013278727021250436
0.065982,0.000014775878607821319
0.0662717,0.000016506649124664977
0.0665626,0.000018569493087128892
0.0668548,0.0000209528092548405
0.0671483,0.00002369838063673456
0.0674431,0.000027066956830270907
0.0677391,0.000031037617594966156
0.0680365,0.000036090417215467105
0.0683352,0.00004248176138537599
0.0686352,0.00005006529099796299
0.0689365,0.00005884511873190553
0.0692391,0.00006891684159583975
0.069543,0.00008029061522916738
0.0698483,0.0000924649596785445
0.070155,0.00009857034465267078
0.0704629,0.00010147414921441242
0.0707723,0.00010492829974028714
0.0710829,0.00010869144176052612
0.071395,0.0001125760625687694
0.0717084,0.00011609810652597802
0.0720232,0.0001085352543143874
0.0723394,0.00009811885593106323
0.0726569,0.0000997327158901727
0.0729759,0.0001086448516194764
0.0732962,0.0001180762346342198
0.073618,0.00012849525998669277
0.0739412,0.00014036844311616757
0.0742658,0.00015534487072162216
0.0745918,0.00017883264359830865
0.0749193,0.00021163518057168624
0.0752481,0.00024890113917324774
0.0755785,0.0002914795218723591
0.0759103,0.00034005673506706997
0.0762435,0.00039528116284799934
0.0765782,0.00045772756858206197
0.0769144,0.0005278314311111643
0.077252,0.000605636721291022
0.0775911,0.0006891466364902546
0.0779318,0.0007704170206484604
0.0782739,0.0008472730253445745
0.0786175,0.0009337398098377504
0.0789626,0.0010294204583651653
0.0793092,0.001134626270022534
0.0796574,0.0012499018096187046
0.0800071,0.0013758368435507172
0.0803583,0.0015131345388497623
0.0807111,0.0016625038932500953
0.0810654,0.0018247681285579933
0.0814213,0.0020008032649246918
0.0817787,0.002191636507138739
0.0821377,0.002398823125349331
0.0824983,0.002626617146188504
0.0828604,0.0028842522516483145
0.0832242,0.0031671389975499176
0.0835895,0.003452994331683794
0.0839565,0.003727801362199523
0.084325,0.004023467374817285
0.0846952,0.004337750712952995
0.085067,0.0046699616397886164
0.0854405,0.00501999786173169
0.0858155,0.00538818701503262
0.0861923,0.005776851112819991
0.0865706,0.006196919322382895
0.0869507,0.006695791134347222
0.0873324,0.007247507165818198
0.0877158,0.00773980749759839
0.0881008,0.008131894780764417
0.0884876,0.008287023445673796
0.088876,0.007576471424147909
0.0892662,0.006713974178591656
0.0896581,0.007253068905730423
0.0900517,0.008362948480580844
0.090447,0.009029892888214158
0.090844,0.00836004951603558
0.0912428,0.007954442611695332
0.0916434,0.007851753782445067
0.0920457,0.008190497459295138
0.0924497,0.009620071640761072
0.0928556,0.011151066027944401
0.0932632,0.012856406057450705
0.0936726,0.015204722271669012
0.0940838,0.017385682776630784
0.0944969,0.018993972435375525
0.0949117,0.01951858245238889
0.0953284,0.018064647537536897
0.0957468,0.01778869389131192
0.0961672,0.01808759125885342
0.0965893,0.018521839622087224
0.0970133,0.01976373712079049
0.0974392,0.022977121635237508
0.097867,0.02191646267858406
0.0982966,0.01699267240643435
0.0987281,0.014473044366814583
0.0991615,0.013656406084197936
0.0995968,0.011164764052393219
0.100034,0.007506802757013283
0.100473,0.004401227190910113
0.100914,0.0028501263611476505
0.101357,0.0018777004720346763
0.101802,0.0013090992257922037
0.102249,0.0008520685931208555
0.102698,0.000532941315158372
0.103149,0.0003464285772161655
0.103602,0.00020020024665983913
0.104056,0.00011531085163734342
0.104513,0.00010241865059362382
0.104972,0.00023023026563755882
0.105433,0.0008331418710928352
0.105896,0.00292038943286325
0.106361,0.006538016075465142
0.106827,0.009437227453812716
0.107296,0.012846606921979925
0.107767,0.018037726600415152
0.108241,0.03221791813075728
0.108716,0.07301214584466069
0.109193,0.16224137628836344
0.109672,0.24933185179921405
0.110154,0.2718617824131383
0.110637,0.2947032185925138
0.111123,0.3184475604441313
0.111611,0.34333013627636044
0.112101,0.3694949653293377
0.112593,0.3970643370018427
0.113087,0.4261431125942131
0.113584,0.45617351031512715
0.114082,0.4843011502006608
0.114583,0.5136492579711418
0.115086,0.5442959857140067
0.115591,0.5763232738902301
0.116099,0.6098305631255594
0.116608,0.6446391513592565
0.11712,0.65774478288433
0.117634,0.6706078740281839
0.118151,0.6833768878087186
0.118669,0.6961023979620936
0.11919,0.7088287930215253
0.119714,0.7187496718527409
0.120239,0.7285243333448704
0.120767,0.7382330440137176
0.121297,0.7479038120565399
0.12183,0.7559626565314792
0.122364,0.7622681675212053
0.122902,0.7684530461444805
0.123441,0.7744784675196196
0.123983,0.7874884530473351
0.124527,0.80363982184567
0.125074,0.820126188121468
0.125623,0.8237856867892976
0.126175,0.8266164420123226
0.126728,0.8293303449971611
0.127285,0.8319647202258991
0.127844,0.8345267395974777
0.128405,0.8370256821558751
0.128968,0.8394686279070784
0.129535,0.8418633782272372
0.130103,0.8437729663146141
0.130674,0.8455822570413869
0.131248,0.8473440121913989
0.131824,0.8490618910658088
0.132403,0.8507503503349838
0.132984,0.85239113742388
0.133568,0.8541313401748327
0.134154,0.8561636635513397
0.134743,0.8581674999060601
0.135335,0.8601420942032357
0.135929,0.8620943956566419
0.136526,0.8640330834056802
0.137125,0.8659508831871822
0.137727,0.8677995461559042
0.138331,0.8677594028518936
0.138939,0.8676827400670079
0.139549,0.8675700118551748
0.140161,0.8680960280190241
0.140777,0.8690997309504634
