Timestamp (UTC_TIME),PMT0,PMT1,PMT2,PMT3,PMT4,PMT5,PMT6,PMT7,6Fold,7Fold,8Fold,Trigger,TotalHits,Pressure
2022-11-05 18:45:08.535,4777,2428,4833,5241,9608,8073,2743,3127,75,14,2,278067,40830,4.398
2022-11-05 18:45:22.935,4862,2540,4633,5272,9647,7587,2643,3040,73,11,1,271045,40224,4.398
2022-11-05 18:45:37.335,4744,2671,4725,5231,9531,7606,2766,3346,75,17,2,271264,40620,4.398
2022-11-05 18:45:51.735,4835,2611,4819,5180,9764,7905,2769,3140,65,18,1,274831,41023,4.397
2022-11-05 18:46:06.135,4765,2608,4616,5260,10120,8163,2885,3184,64,10,0,277888,41601,4.398
2022-11-05 18:46:20.535,4828,2672,4773,5076,9860,7753,2791,3359,74,13,2,275040,41112,4.397
2022-11-05 18:46:34.935,4743,2632,4943,5142,9669,7451,2907,3389,68,18,2,274834,40876,4.398
2022-11-05 18:46:49.335,4900,2722,4956,5130,9898,7799,3075,3571,68,20,4,275086,42051,4.398
2022-11-05 18:47:03.735,4912,2744,4829,5014,9786,8084,3127,3643,63,14,0,273625,42139,4.397
2022-11-05 18:47:18.135,4775,2623,4790,5098,9979,8162,3068,3493,74,27,2,272964,41988,4.397
2022-11-05 18:47:32.535,5002,2847,5142,5344,9950,8196,3242,3653,67,23,5,279636,43376,4.398
2022-11-05 18:47:46.935,4899,3064,5179,5141,10066,8081,3374,3788,65,13,0,277372,43592,4.398
2022-11-05 18:48:01.335,4924,2981,4975,5041,10429,8449,3397,3605,83,24,2,273816,43801,4.398
2022-11-05 18:48:15.735,5000,2883,4911,5044,10330,8176,3231,3762,68,24,2,277075,43337,4.398
2022-11-05 18:48:30.135,4923,2667,4996,5116,10266,8657,3281,3757,76,26,2,273022,43663,4.398
2022-11-05 18:48:44.535,4862,2993,4835,5158,10040,7819,3323,3921,76,15,3,274156,42951,4.397
2022-11-05 18:48:58.935,4942,2979,5030,5163,10454,8549,3327,4069,79,13,3,275956,44513,4.397
2022-11-05 18:49:13.335,4906,2821,5047,5283,10162,8117,3363,3800,60,11,0,276572,43499,4.398
2022-11-05 18:49:27.735,4958,2865,5009,5116,10040,8184,3413,3810,65,17,2,271719,43395,4.398
2022-11-05 18:49:42.135,4935,3120,5070,5135,10249,8700,3464,4065,90,25,4,277129,44738,4.398
2022-11-05 18:49:56.535,4740,2801,5394,5006,10330,8393,3366,3895,63,14,0,269640,43925,4.398
2022-11-05 18:50:10.935,4986,3220,5463,5272,10213,8042,3599,3965,90,19,2,275790,44760,4.398
2022-11-05 18:50:25.335,4849,2876,4914,5039,9784,7883,3400,3934,79,26,3,274316,42679,4.397
2022-11-05 18:50:39.735,4958,3154,5091,5337,10395,7936,3588,4155,89,17,3,276142,44614,4.398
2022-11-05 18:50:54.135,4851,3119,5262,5270,10431,8352,3712,4088,82,22,6,279066,45085,4.398
2022-11-05 18:51:08.535,4860,3090,4968,5199,10443,7996,3610,4344,54,12,0,279382,44510,4.398
2022-11-05 18:51:22.935,4992,3179,5348,5213,10627,7781,3552,4198,81,26,3,274228,44890,4.397
